,Lambda,MSE,MSE_formula
0,7.0,2.719769255323384e-05,2.719769255323384e-05
1,7.0201005025126,2.6040500392639347e-05,2.6040500392639377e-05
2,7.0402010050251,2.4541525202486635e-05,2.4541525202486615e-05
3,7.0603015075377,2.2340995681237972e-05,2.2340995681237965e-05
4,7.0804020100503,1.943300322780098e-05,1.943300322780099e-05
5,7.1005025125628,1.6033647041080448e-05,1.6033647041080448e-05
6,7.1206030150754,1.244537733838282e-05,1.2445377338382827e-05
7,7.1407035175879,9.014479972010255e-06,9.014479972010252e-06
8,7.1608040201005,6.047836977362774e-06,6.047836977362774e-06
9,7.1809045226131,3.806009730057208e-06,3.806009730057206e-06
10,7.2010050251256,2.5111291682201734e-06,2.511129168220174e-06
11,7.2211055276382,2.1298551095384074e-06,2.1298551095384074e-06
12,7.2412060301508,2.7501340900596543e-06,2.7501340900596573e-06
13,7.2613065326633,4.315888442681988e-06,4.315888442681987e-06
14,7.2814070351759,6.714410404154632e-06,6.714410404154633e-06
15,7.3015075376884,9.72530202781132e-06,9.72530202781132e-06
16,7.321608040201,1.3273564560290032e-05,1.3273564560290036e-05
17,7.3417085427136,1.7121310805383357e-05,1.7121310805383357e-05
18,7.3618090452261,2.1068811864593455e-05,2.106881186459342e-05
19,7.3819095477387,1.8636260550532226e-05,1.863626055053224e-05
20,7.4020100502513,2.106704308758809e-05,2.1067043087588087e-05
21,7.4221105527638,2.3230298045907954e-05,2.3230298045907964e-05
22,7.4422110552764,2.49234562270564e-05,2.49234562270564e-05
23,7.4623115577889,2.623113411873923e-05,2.6231134118739247e-05
24,7.4824120603015,2.692023744841653e-05,2.692023744841655e-05
25,7.5025125628141,2.718038644305552e-05,2.718038644305551e-05
26,7.5226130653266,2.679625420251359e-05,2.6796254202513615e-05
27,7.5427135678392,2.603326050131125e-05,2.603326050131127e-05
28,7.5628140703518,2.469880991666995e-05,2.4698809916669948e-05
29,7.5829145728643,2.311665692661642e-05,2.311665692661643e-05
30,7.6030150753769,2.110151049416854e-05,2.1101510494168544e-05
31,7.6231155778894,1.900623029948375e-05,1.9006230299483775e-05
32,7.643216080402,1.665724657401179e-05,1.6657246574011788e-05
33,7.6633165829146,1.4338550896475357e-05,1.4338550896475365e-05
34,7.6834170854271,1.2100122083595348e-05,1.210012208359535e-05
35,7.7035175879397,1.0033453305146251e-05,1.003345330514625e-05
36,7.7236180904523,8.25780551285164e-06,8.257805512851639e-06
37,7.7437185929648,6.635904409335986e-06,6.635904409335989e-06
38,7.7638190954774,5.330897842628821e-06,5.330897842628813e-06
39,7.78391959799,4.458019006864815e-06,4.458019006864814e-06
40,7.8040201005025,3.879401009374254e-06,3.879401009374258e-06
41,7.8241206030151,3.7014334666069875e-06,3.7014334666069884e-06
42,7.8442211055276,3.9234368062461735e-06,3.923436806246176e-06
43,7.8643216080402,4.586452097079615e-06,4.586452097079611e-06
44,7.8844221105528,5.577963719666936e-06,5.5779637196669385e-06
45,7.9045226130653,6.900393900736209e-06,6.900393900736208e-06
46,7.9246231155779,8.536527273424762e-06,8.536527273424765e-06
47,7.9447236180905,1.0473453555386224e-05,1.047345355538623e-05
48,7.964824120603,1.2577191217976105e-05,1.2577191217976103e-05
49,7.9849246231156,1.4853947033061407e-05,1.4853947033061404e-05
50,8.0050251256281,1.725766984837701e-05,1.7257669848377e-05
51,8.0251256281407,1.97428070224401e-05,1.9742807022440084e-05
52,8.0452261306533,2.2273159256703197e-05,2.2273159256703197e-05
53,8.0653266331658,2.4783466395533532e-05,2.478346639553353e-05
54,8.0854271356784,2.724214049921259e-05,2.7242140499212624e-05
55,8.105527638191,2.9618825524919118e-05,2.9618825524919118e-05
56,8.1256281407035,3.18669242926669e-05,3.1866924292666896e-05
57,8.1457286432161,3.394881517784552e-05,3.394881517784548e-05
58,8.1658291457286,3.585126071573721e-05,3.5851260715737186e-05
59,8.1859296482412,3.754992929888999e-05,3.754992929889003e-05
60,8.2060301507538,3.9027388193602627e-05,3.9027388193602586e-05
61,8.2261306532663,4.0272709954691346e-05,4.02727099546913e-05
62,8.2462311557789,4.12762506002445e-05,4.1276250600244484e-05
63,8.2663316582915,4.210572827050284e-05,4.210572827050285e-05
64,8.286432160804,4.2648329540178866e-05,4.264832954017887e-05
65,8.3065326633166,4.2943559013310236e-05,4.294355901331022e-05
66,8.3266331658291,4.302934111294342e-05,4.302934111294342e-05
67,8.3467336683417,4.286320819037917e-05,4.286320819037915e-05
68,8.3668341708543,4.2485397980014996e-05,4.2485397980015e-05
69,8.3869346733668,4.178878344575661e-05,4.178878344575662e-05
70,8.4070351758794,4.102558738152758e-05,4.102558738152758e-05
71,8.427135678392,4.0092299366923966e-05,4.009229936692397e-05
