#Parameters = {d=0.175; l2=3.5; lambda=7; r=0.023583}
#"Frequency / GHz"	"S1,1 (lambda=7) [Re]"	"S1,1 (lambda=7) [Im]"	"Ref.Imp. [Re]"	"Ref.Imp. [Im]"
#-----------------------------------------------------------------------------------------------
25.000000000000	0.85694766044617	-0.44525676965714	65.000000000000	0.00000000000000
25.010000228882	0.85667937994003	-0.44557547569275	65.000000000000	0.00000000000000
25.020000457764	0.85641062259674	-0.44589439034462	65.000000000000	0.00000000000000
25.030000686646	0.85614132881165	-0.44621342420578	65.000000000000	0.00000000000000
25.040000915527	0.85587143898010	-0.44653263688087	65.000000000000	0.00000000000000
25.049999237061	0.85560095310211	-0.44685202836990	65.000000000000	0.00000000000000
25.059999465942	0.85532993078232	-0.44717156887054	65.000000000000	0.00000000000000
25.069999694824	0.85505831241608	-0.44749125838280	65.000000000000	0.00000000000000
25.079999923706	0.85478615760803	-0.44781112670898	65.000000000000	0.00000000000000
25.090000152588	0.85451346635818	-0.44813111424446	65.000000000000	0.00000000000000
25.100000381470	0.85424017906189	-0.44845134019852	65.000000000000	0.00000000000000
25.110000610352	0.85396629571915	-0.44877159595490	65.000000000000	0.00000000000000
25.120000839233	0.85369187593460	-0.44909211993217	65.000000000000	0.00000000000000
25.129999160767	0.85341686010361	-0.44941276311874	65.000000000000	0.00000000000000
25.139999389648	0.85314118862152	-0.44973361492157	65.000000000000	0.00000000000000
25.149999618530	0.85286509990692	-0.45005452632904	65.000000000000	0.00000000000000
25.159999847412	0.85258841514587	-0.45037567615509	65.000000000000	0.00000000000000
25.170000076294	0.85231107473373	-0.45069694519043	65.000000000000	0.00000000000000
25.180000305176	0.85203319787979	-0.45101839303970	65.000000000000	0.00000000000000
25.190000534058	0.85175472497940	-0.45133996009827	65.000000000000	0.00000000000000
25.200000762939	0.85147559642792	-0.45166167616844	65.000000000000	0.00000000000000
25.209999084473	0.85119593143463	-0.45198360085487	65.000000000000	0.00000000000000
25.219999313354	0.85091567039490	-0.45230561494827	65.000000000000	0.00000000000000
25.229999542236	0.85063493251801	-0.45262783765793	65.000000000000	0.00000000000000
25.239999771118	0.85035341978073	-0.45295020937920	65.000000000000	0.00000000000000
25.250000000000	0.85007154941559	-0.45327273011208	65.000000000000	0.00000000000000
25.260000228882	0.84978890419006	-0.45359539985657	65.000000000000	0.00000000000000
25.270000457764	0.84950566291809	-0.45391818881035	65.000000000000	0.00000000000000
25.280000686646	0.84922194480896	-0.45424115657806	65.000000000000	0.00000000000000
25.290000915527	0.84893757104874	-0.45456430315971	65.000000000000	0.00000000000000
25.299999237061	0.84865266084671	-0.45488756895065	65.000000000000	0.00000000000000
25.309999465942	0.84836697578430	-0.45521098375320	65.000000000000	0.00000000000000
25.319999694824	0.84808093309402	-0.45553457736969	65.000000000000	0.00000000000000
25.329999923706	0.84779417514801	-0.45585829019547	65.000000000000	0.00000000000000
25.340000152588	0.84750682115555	-0.45618215203285	65.000000000000	0.00000000000000
25.350000381470	0.84721881151199	-0.45650622248650	65.000000000000	0.00000000000000
25.360000610352	0.84693026542664	-0.45683035254478	65.000000000000	0.00000000000000
25.370000839233	0.84664106369019	-0.45715472102165	65.000000000000	0.00000000000000
25.379999160767	0.84635126590729	-0.45747917890549	65.000000000000	0.00000000000000
25.389999389648	0.84606087207794	-0.45780381560326	65.000000000000	0.00000000000000
25.399999618530	0.84576982259750	-0.45812857151031	65.000000000000	0.00000000000000
25.409999847412	0.84547829627991	-0.45845347642899	65.000000000000	0.00000000000000
