,Lambda,MSE,MSE_formula
0,7.0,9.786496198456541e-05,9.786496198456541e-05
1,7.0201005025126,4.1321839804447554e-05,4.132183980444755e-05
2,7.0402010050251,2.4019679547388963e-05,2.4019679547388973e-05
3,7.0603015075377,2.791630503170643e-05,2.7916305031706435e-05
4,7.0804020100503,4.1203697319220675e-05,4.120369731922067e-05
5,7.1005025125628,5.659395769758126e-05,5.659395769758124e-05
6,7.1206030150754,6.997380042334977e-05,6.997380042334977e-05
7,7.1407035175879,7.940210210462466e-05,7.940210210462466e-05
8,7.1608040201005,8.433607501913812e-05,8.433607501913806e-05
9,7.1809045226131,8.507619912255149e-05,8.507619912255149e-05
10,7.2010050251256,8.229006241699888e-05,8.22900624169989e-05
11,7.2211055276382,7.712089270233802e-05,7.712089270233802e-05
12,7.2412060301508,7.045783378999448e-05,7.04578337899945e-05
13,7.2613065326633,6.31701428590628e-05,6.317014285906279e-05
14,7.2814070351759,5.59908802988402e-05,5.599088029884019e-05
15,7.3015075376884,4.930614558570357e-05,4.930614558570358e-05
16,7.321608040201,4.379617015831086e-05,4.3796170158310875e-05
17,7.3417085427136,3.950566962758139e-05,3.95056696275814e-05
18,7.3618090452261,3.648376124874972e-05,3.648376124874974e-05
19,7.3819095477387,2.6253452051806155e-05,2.625345205180617e-05
20,7.4020100502513,2.5251549176707943e-05,2.5251549176707957e-05
21,7.4221105527638,2.514883921369105e-05,2.5148839213691046e-05
22,7.4422110552764,2.561243687637748e-05,2.561243687637747e-05
23,7.4623115577889,2.6542159532851015e-05,2.6542159532851025e-05
24,7.4824120603015,2.75413689236319e-05,2.7541368923631874e-05
25,7.5025125628141,2.854191843549869e-05,2.8541918435498667e-05
26,7.5226130653266,2.9218233300174437e-05,2.9218233300174447e-05
27,7.5427135678392,2.957268006371213e-05,2.9572680063712152e-05
28,7.5628140703518,2.9384563904571816e-05,2.9384563904571826e-05
29,7.5829145728643,2.874577564193897e-05,2.8745775641938942e-05
30,7.6030150753769,2.7525820657654288e-05,2.752582065765427e-05
31,7.6231155778894,2.591272741840731e-05,2.5912727418407317e-05
32,7.643216080402,2.3868351305239218e-05,2.3868351305239228e-05
33,7.6633165829146,2.1589820055900054e-05,2.1589820055900054e-05
34,7.6834170854271,1.8247152348356044e-05,1.8247152348356054e-05
35,7.7035175879397,1.4952397487166952e-05,1.4952397487166933e-05
36,7.7236180904523,1.2230371907560532e-05,1.2230371907560534e-05
37,7.7437185929648,1.0127463814312357e-05,1.0127463814312357e-05
38,7.7638190954774,8.634596897301655e-06,8.634596897301653e-06
39,7.78391959799,7.424523026683821e-06,7.424523026683819e-06
40,7.8040201005025,6.5039601366023236e-06,6.503960136602325e-06
41,7.8241206030151,6.0317966582445816e-06,6.031796658244583e-06
42,7.8442211055276,6.110283827775215e-06,6.110283827775212e-06
43,7.8643216080402,6.802001702411608e-06,6.802001702411608e-06
44,7.8844221105528,7.980692078719042e-06,7.980692078719039e-06
45,7.9045226130653,9.709885689708269e-06,9.709885689708269e-06
46,7.9246231155779,1.185484364345136e-05,1.1854843643451368e-05
47,7.9447236180905,1.4508529018263942e-05,1.4508529018263944e-05
48,7.964824120603,1.7410384761197015e-05,1.7410384761197015e-05
49,7.9849246231156,2.05857907750325e-05,2.0585790775032492e-05
50,8.0050251256281,2.395007137681573e-05,2.3950071376815736e-05
51,8.0251256281407,2.7430023142454566e-05,2.7430023142454546e-05
52,8.0452261306533,3.091629897412303e-05,3.091629897412303e-05
53,8.0653266331658,3.434221446205869e-05,3.434221446205867e-05
54,8.0854271356784,3.760303062008276e-05,3.760303062008275e-05
55,8.105527638191,4.06199070138875e-05,4.061990701388748e-05
56,8.1256281407035,4.3326128350851714e-05,4.3326128350851714e-05
57,8.1457286432161,4.56618036179705e-05,4.56618036179705e-05
58,8.1658291457286,4.760489239242275e-05,4.7604892392422714e-05
59,8.1859296482412,4.912496684330936e-05,4.91249668433093e-05
60,8.2060301507538,5.0232215489634345e-05,5.023221548963431e-05
61,8.2261306532663,5.092643701926996e-05,5.0926437019269954e-05
62,8.2462311557789,5.121815684353586e-05,5.121815684353591e-05
63,8.2663316582915,5.107862728560446e-05,5.1078627285604524e-05
64,8.286432160804,5.0701959368825885e-05,5.07019593688259e-05
65,8.3065326633166,5.0001955966031505e-05,5.000195596603149e-05
66,8.3266331658291,4.9009623387720755e-05,4.900962338772081e-05
67,8.3467336683417,4.783641609555567e-05,4.7836416095555696e-05
68,8.3668341708543,4.6484758307841396e-05,4.648475830784139e-05
69,8.3869346733668,4.484208964317176e-05,4.484208964317178e-05
70,8.4070351758794,4.325107676284416e-05,4.325107676284418e-05
71,8.427135678392,4.1602505410236034e-05,4.160250541023603e-05
72,8.4472361809045,3.9924677874776195e-05,3.992467787477622e-05
73,8.4673366834171,3.8254540559192e-05,3.825454055919199e-05
74,8.4874371859296,3.645838456320491e-05,3.6458384563204844e-05
75,8.5075376884422,3.487486202885539e-05,3.487486202885536e-05
76,8.5276381909548,3.335263751840009e-05,3.33526375184001e-05
77,8.5477386934673,3.190313290931013e-05,3.1903132909310134e-05
78,8.5678391959799,3.039213516284392e-05,3.039213516284395e-05
79,8.5879396984925,2.910233514281895e-05,2.9102335142818937e-05
80,8.608040201005,2.7878342231690062e-05,2.7878342231690073e-05
81,8.6281407035176,2.6835032082591385e-05,2.6835032082591344e-05
82,8.6482412060301,2.578716497282063e-05,2.5787164972820654e-05
83,8.6683417085427,2.4788777425911052e-05,2.4788777425911045e-05
84,8.6884422110553,2.372179354508614e-05,2.372179354508614e-05
85,8.7085427135678,2.2805770293428116e-05,2.280577029342809e-05
86,8.7286432160804,2.1902900714396143e-05,2.190290071439617e-05
87,8.748743718593,2.0921554754420934e-05,2.092155475442092e-05
88,8.7688442211055,2.0038296047906527e-05,2.0038296047906547e-05
89,8.7889447236181,1.915724751178222e-05,1.91572475117822e-05
90,8.8090452261307,1.7729597107361818e-05,1.7729597107361798e-05
91,8.8291457286432,1.6844560344397286e-05,1.6844560344397293e-05
92,8.8492462311558,1.5916211453515584e-05,1.5916211453515574e-05
93,8.8693467336683,1.5055029372064196e-05,1.5055029372064204e-05
94,8.8894472361809,1.4175046932515126e-05,1.4175046932515131e-05
95,8.9095477386935,1.3377483850265056e-05,1.3377483850265056e-05
96,8.929648241206,1.2543861443621702e-05,1.2543861443621707e-05
97,8.9497487437186,1.1899171997473251e-05,1.1899171997473253e-05
98,8.9698492462312,1.1262518436187692e-05,1.1262518436187692e-05
99,8.9899497487437,1.0682393216784765e-05,1.068239321678477e-05
100,9.0100502512563,1.0510218291861813e-05,1.0510218291861806e-05
101,9.0301507537688,1.0157701436240745e-05,1.0157701436240745e-05
102,9.0502512562814,9.917104703903564e-06,9.917104703903564e-06
103,9.070351758794,9.821475912671965e-06,9.821475912671969e-06
104,9.0904522613065,9.902580108267607e-06,9.902580108267607e-06
105,9.1105527638191,1.0137754579359408e-05,1.0137754579359406e-05
106,9.1306532663317,1.0465707349363873e-05,1.0465707349363872e-05
107,9.1507537688442,1.1008233503720476e-05,1.1008233503720485e-05
108,9.1708542713568,1.163754213912287e-05,1.1637542139122852e-05
109,9.1909547738693,1.24759925409415e-05,1.2475992540941488e-05
110,9.2110552763819,1.3460426648857324e-05,1.3460426648857338e-05
111,9.2311557788945,1.447734384267333e-05,1.4477343842673342e-05
112,9.251256281407,1.5689811422728073e-05,1.5689811422728066e-05
113,9.2713567839196,1.7000664090294576e-05,1.7000664090294545e-05
114,9.2914572864322,1.827129556709014e-05,1.8271295567090146e-05
115,9.3115577889447,1.9679189199731714e-05,1.967918919973171e-05
116,9.3316582914573,2.111580386486033e-05,2.1115803864860297e-05
117,9.3517587939699,2.2734706977882e-05,2.2734706977882022e-05
118,9.3718592964824,2.401447304022794e-05,2.401447304022797e-05
119,9.391959798995,2.5385994979495545e-05,2.5385994979495535e-05
120,9.4120603015075,2.6652408583508344e-05,2.6652408583508367e-05
121,9.4321608040201,2.7688516949416487e-05,2.7688516949416474e-05
122,9.4522613065327,2.8720188700029522e-05,2.8720188700029502e-05
123,9.4723618090452,2.9635138349724655e-05,2.9635138349724655e-05
124,9.4924623115578,3.0365197553197377e-05,3.0365197553197384e-05
125,9.5125628140704,3.092463950886165e-05,3.0924639508861676e-05
126,9.5326633165829,3.115800055827515e-05,3.115800055827514e-05
127,9.5527638190955,3.132785206312498e-05,3.132785206312493e-05
128,9.572864321608,3.130520484109027e-05,3.130520484109029e-05
129,9.5929648241206,3.109555889556084e-05,3.1095558895560846e-05
130,9.6130653266332,3.065057299355392e-05,3.065057299355393e-05
131,9.6331658291457,2.9896693732343513e-05,2.989669373234356e-05
132,9.6532663316583,2.911824860417531e-05,2.9118248604175282e-05
133,9.6733668341709,2.8115278737201974e-05,2.8115278737201998e-05
134,9.6934673366834,2.70057745985715e-05,2.700577459857152e-05
135,9.713567839196,2.577033614519462e-05,2.5770336145194598e-05
136,9.7336683417085,2.4352320499392068e-05,2.4352320499392057e-05
137,9.7537688442211,2.2891987666958904e-05,2.2891987666958894e-05
138,9.7738693467337,2.13623191683384e-05,2.136231916833838e-05
139,9.7939698492462,1.978421728426352e-05,1.9784217284263528e-05
140,9.8140703517588,1.7956502207691766e-05,1.7956502207691752e-05
141,9.8341708542714,1.6347290607318267e-05,1.6347290607318288e-05
142,9.8542713567839,1.475178120099295e-05,1.4751781200992946e-05
143,9.8743718592965,1.314737504615967e-05,1.314737504615967e-05
144,9.894472361809,1.1662828862347645e-05,1.166282886234765e-05
145,9.9145728643216,1.0263616771186271e-05,1.0263616771186254e-05
146,9.9346733668342,8.94006383090214e-06,8.940063830902135e-06
147,9.9547738693467,7.780057919984896e-06,7.780057919984894e-06
148,9.9748743718593,6.765779029855625e-06,6.765779029855625e-06
149,9.9949748743719,5.905137579614191e-06,5.905137579614193e-06
150,10.015075376884,5.235943767434361e-06,5.235943767434356e-06
151,10.035175879397,4.759700135480898e-06,4.759700135480899e-06
152,10.05527638191,4.491362234425349e-06,4.49136223442535e-06
153,10.075376884422,4.434688627998318e-06,4.434688627998322e-06
154,10.095477386935,4.6132993468951735e-06,4.613299346895171e-06
155,10.115577889447,5.005954631044277e-06,5.005954631044276e-06
156,10.13567839196,5.62532867149956e-06,5.625328671499554e-06
157,10.155778894472,6.48680592037638e-06,6.486805920376388e-06
158,10.175879396985,7.560833614507727e-06,7.560833614507731e-06
159,10.195979899497,8.825778968727163e-06,8.825778968727151e-06
160,10.21608040201,1.0299533510286492e-05,1.029953351028648e-05
161,10.236180904523,1.1931988932804133e-05,1.1931988932804138e-05
162,10.256281407035,1.3731357499719308e-05,1.37313574997193e-05
163,10.276381909548,1.5644238822950753e-05,1.5644238822950763e-05
164,10.29648241206,1.7657799413666198e-05,1.765779941366618e-05
