,Unnamed: 0,Frequency,S1_Real[RE],S1_Imaginary[Im],Lambda,Magnitude,Phase(Deg),Phase(Rad)
1000,1000,35.0,0.10204572230577,-0.46201300621033,7.0,0.4731483354598352,-77.54493650664533,-1.3534144602909106
2001,2001,35.0,0.092596113681793,-0.45099732279778,7.0201005025126,0.460404849496328,-78.39760352582293,-1.3682963071987255
3002,3002,35.0,0.083431079983711,-0.43964025378227,7.0402010050251,0.4474866454465285,-79.25468326180109,-1.383255170543668
4003,4003,35.0,0.074567101895809,-0.42795148491859,7.0603015075377,0.434399270405886,-80.11590227839581,-1.3982862779640337
5004,5004,35.0,0.066022127866745,-0.41594424843788,7.0804020100503,0.4211514444669585,-80.98078085521475,-1.4133812567594868
6005,6005,35.0,0.057811807841063,-0.40362799167633,7.1005025125628,0.4077471775383853,-81.84893913249442,-1.4285334771264588
7006,7006,35.0,0.049952287226915,-0.39101818203926,7.1206030150754,0.3941959534095803,-82.71993834591946,-1.4437352811830066
8007,8007,35.0,0.042458616197109,-0.37812879681587,7.1407035175879,0.3805050867870111,-83.59331471072544,-1.4589785743579702
9008,9008,35.0,0.035345133394003,-0.36497685313225,7.1608040201005,0.3666843080593439,-84.46860390045411,-1.4742552526258488
10009,10009,35.0,0.028625199571252,-0.35157451033592,7.1809045226131,0.3527379173953885,-85.34524482791474,-1.4895555231677735
11010,11010,35.0,0.022280698642135,-0.33790081739426,7.2010050251256,0.3386345994249416,-86.22745911599937,-1.504953067202988
12011,12011,35.0,0.016386153176427,-0.32405486702919,7.2211055276382,0.3244688935186658,-87.10524807293699,-1.5202733746391963
13012,13012,35.0,0.010918772779405,-0.31001567840576,7.2412060301508,0.3102078987653149,-87.98287261585008,-1.53559081250934
14013,14013,35.0,0.0058891661465168,-0.29579973220825,7.2613065326633,0.2958583509931293,-88.85943171639174,-1.5508896549021118
15014,15014,35.0,0.0013041663914919,-0.28142896294594,7.2814070351759,0.2814319847401925,-89.73448825468404,-1.5661622726364164
16015,16015,35.0,-0.0028494105208665,-0.26688274741173,7.3015075376884,0.266897958040802,-90.61170306291908,-1.5814725592873684
17016,17016,35.0,-0.0065228072926402,-0.25226604938507,7.321608040201,0.2523503649439159,-91.48115877581212,-1.596647424177627
18017,18017,35.0,-0.0097340224310756,-0.23755750060081,7.3417085427136,0.2377568448739016,-92.34640700361352,-1.6117488545998069
19018,19018,35.0,-0.012479361146688,-0.22277779877186,7.3618090452261,0.2231270536718145,-93.20619132131225,-1.6267549218006625
20019,20019,35.0,-0.013908353634179,-0.20545795559883,7.3819095477387,0.2059281763617212,-93.87269521340023,-1.6383876091949552
21020,21020,35.0,-0.015620264224708,-0.19066728651524,7.4020100502513,0.1913060553185244,-94.68345160260326,-1.6525379776181284
22021,22021,35.0,-0.016870427876711,-0.17587541043758,7.4221105527638,0.1766826854372848,-95.47919661322486,-1.6664263480597925
23022,23022,35.0,-0.017672842368484,-0.16105456650257,7.4422110552764,0.1620213033792532,-96.26212729761244,-1.6800910663172488
24023,24023,35.0,-0.018004672601819,-0.14632351696491,7.4623115577889,0.1474270662140402,-97.01481393949337,-1.69322792645385
25024,25024,35.0,-0.017895283177495,-0.1316033154726,7.4824120603015,0.1328144337163074,-97.74352744790754,-1.705946376479437
26025,26025,35.0,-0.017329916357994,-0.11700964719057,7.5025125628141,0.1182860242659154,-98.42464695231732,-1.7178341544309397
27026,27026,35.0,-0.016333976760507,-0.10246942192316,7.5226130653266,0.1037631014671369,-99.05694576217584,-1.7288698505194122
28027,28027,35.0,-0.01490050368011,-0.088091067969799,7.5427135678392,0.0893423822493038,-99.60064167557036,-1.7383591343377844
29028,29028,35.0,-0.013049799017608,-0.073803156614304,7.5628140703518,0.0749480031797742,-100.02733727249132,-1.745806377407818
30029,30029,35.0,-0.010785423219204,-0.059711486101151,7.5829145728643,0.0606777300698146,-100.23868946424057,-1.7494951690351483
31030,31030,35.0,-0.0081167779862881,-0.045757077634335,7.6030150753769,0.0464714131323037,-100.05897420891624,-1.746358546113677
32031,32031,35.0,-0.0050645754672587,-0.032016601413488,7.6231155778894,0.0324146986833707,-98.98890348962486,-1.7276822888328582
33032,33032,35.0,-0.0016347450437024,-0.018432607874274,7.643216080402,0.0185049567523044,-95.06816904112448,-1.6592525636101625
34033,34033,35.0,0.0021568827796727,-0.0050982842221856,7.6633165829146,0.0055357605923156,-67.06869665758576,-1.1705695816961874
35034,35034,35.0,0.0063005839474499,0.008051048964262,7.6834170854271,0.0102233432645004,51.95400338397999,0.9067684186427264
36035,36035,35.0,0.010780800133944,0.020964249968529,7.7035175879397,0.0235738293086001,62.785648114074974,1.0958162825891766
37036,37036,35.0,0.015577482059598,0.033597763627768,7.7236180904523,0.0370333318525955,65.12537291918149,1.136652184028868
38037,38037,35.0,0.020687935873866,0.046011827886105,7.7437185929648,0.0504487759627698,65.7902618741115,1.148256685452541
39038,39038,35.0,0.026091154664755,0.058162420988083,7.7638190954774,0.0637464945462506,65.83941181899507,1.1491145138179328
40039,40039,35.0,0.031762968748808,0.070009365677834,7.78391959799,0.0768778086729222,65.59639463966504,1.1448730638997142
41040,41040,35.0,0.037717770785093,0.081584937870502,7.8040201005025,0.0898817685647678,65.18828941851038,1.137750284095986
42041,42041,35.0,0.043909728527069,0.092904135584831,7.8241206030151,0.1027581756751527,64.7029515777433,1.1292795407900804
43042,43042,35.0,0.050335399806499,0.10393495112658,7.8442211055276,0.1154821481414537,64.15922575321576,1.1197897349239538
