#Parameters = {d=0.17650753768844; l2=3.5301507537688; lambda=7.0603015075377; r=0.023786155778895}
#"Frequency / GHz"	"S1,1 (lambda=7.0603) [Re]"	"S1,1 (lambda=7.0603) [Im]"	"Ref.Imp. [Re]"	"Ref.Imp. [Im]"
#---------------------------------------------------------------------------------------------------------
25.000000000000	0.85109639167786	-0.45207357406616	65.000000000000	0.00000000000000
25.010000228882	0.85081362724304	-0.45239847898483	65.000000000000	0.00000000000000
25.020000457764	0.85053014755249	-0.45272347331047	65.000000000000	0.00000000000000
25.030000686646	0.85024613142014	-0.45304867625237	65.000000000000	0.00000000000000
25.040000915527	0.84996163845062	-0.45337402820587	65.000000000000	0.00000000000000
25.049999237061	0.84967643022537	-0.45369946956635	65.000000000000	0.00000000000000
25.059999465942	0.84939056634903	-0.45402511954308	65.000000000000	0.00000000000000
25.069999694824	0.84910416603088	-0.45435094833374	65.000000000000	0.00000000000000
25.079999923706	0.84881711006165	-0.45467689633369	65.000000000000	0.00000000000000
25.090000152588	0.84852951765060	-0.45500299334526	65.000000000000	0.00000000000000
25.100000381470	0.84824126958847	-0.45532923936844	65.000000000000	0.00000000000000
25.110000610352	0.84795242547989	-0.45565566420555	65.000000000000	0.00000000000000
25.120000839233	0.84766298532486	-0.45598226785660	65.000000000000	0.00000000000000
25.129999160767	0.84737282991409	-0.45630899071693	65.000000000000	0.00000000000000
25.139999389648	0.84708231687546	-0.45663580298424	65.000000000000	0.00000000000000
25.149999618530	0.84679096937180	-0.45696285367012	65.000000000000	0.00000000000000
25.159999847412	0.84649908542633	-0.45729002356529	65.000000000000	0.00000000000000
25.170000076294	0.84620648622513	-0.45761734247208	65.000000000000	0.00000000000000
25.180000305176	0.84591341018677	-0.45794481039047	65.000000000000	0.00000000000000
25.190000534058	0.84561955928802	-0.45827242732048	65.000000000000	0.00000000000000
25.200000762939	0.84532523155212	-0.45860019326210	65.000000000000	0.00000000000000
25.209999084473	0.84503018856049	-0.45892810821533	65.000000000000	0.00000000000000
25.219999313354	0.84473460912704	-0.45925620198250	65.000000000000	0.00000000000000
25.229999542236	0.84443819522858	-0.45958441495895	65.000000000000	0.00000000000000
25.239999771118	0.84414136409760	-0.45991277694702	65.000000000000	0.00000000000000
25.250000000000	0.84384381771088	-0.46024125814438	65.000000000000	0.00000000000000
25.260000228882	0.84354573488235	-0.46056994795799	65.000000000000	0.00000000000000
25.270000457764	0.84324681758881	-0.46089875698090	65.000000000000	0.00000000000000
25.280000686646	0.84294748306274	-0.46122765541077	65.000000000000	0.00000000000000
25.290000915527	0.84264737367630	-0.46155679225922	65.000000000000	0.00000000000000
25.299999237061	0.84234666824341	-0.46188598871231	65.000000000000	0.00000000000000
25.309999465942	0.84204530715942	-0.46221536397934	65.000000000000	0.00000000000000
25.319999694824	0.84174329042435	-0.46254485845566	65.000000000000	0.00000000000000
